20160524,PTGR161,POSPICO P L R,56515.35,MAMP040,SOYA,11954.6,63177
20160524,PTGR161,POSPICO P L R,56515.35,MAMP045,SOYA EXTRUIDA,1042.725,63177
20160524,PTGR161,POSPICO P L R,56515.35,MAMP010,BIOFOS,335.67,63177
20160524,PTGR161,POSPICO P L R,56515.35,MAMP050,CALCIO GRANO,5282.101,63177
20160524,PTGR161,POSPICO P L R,56515.35,MAMP015,ACEITE,298.825,63177
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP331,DDGS,303.909,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP000,MAIZ,4333.666,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP040,SOYA,1402.975,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP045,SOYA EXTRUIDA,615.984,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP010,BIOFOS,31.751,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP050,CALCIO GRANO,769.754,63178
20160524,PTGR172,FASE 1 REP LIV,7519.44,MAMP015,ACEITE,59.5,63178
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP000,MAIZ,1099.972,63179
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP040,SOYA,588.768,63179
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP045,SOYA EXTRUIDA,135.171,63179
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP010,BIOFOS,20.865,63179
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP170,CALCIO HARINA,20.865,63179
20160524,PTGR110,PREINIC POLLI ISS,1874.04,MAMP015,ACEITE,7.5,63179
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP331,DDGS,3206.476,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP000,MAIZ,30716.68,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP040,SOYA,11036.47,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP045,SOYA EXTRUIDA,2100.607,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP010,BIOFOS,225.891,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP050,CALCIO GRANO,5240.406,63180
20160524,PTGR170,FASE 1 PON LAN,52751.13,MAMP015,ACEITE,224.6,63180
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP331,DDGS,3418.759,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP000,MAIZ,32680.3,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP040,SOYA,10522.09,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP045,SOYA EXTRUIDA,3528.076,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP010,BIOFOS,336.115,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP050,CALCIO GRANO,5564.726,63181
20160524,PTGR162,POSPICO LAN JAU,56373.37,MAMP015,ACEITE,323.3,63181
20160524,RENDIMIENTO,RENDIMIENTO,14464,MAMP030,MOGOLLA,14464,63182
20160524,RENDIMIENTO,RENDIMIENTO,3284,MAMP050,CALCIO GRANO,3284,63183
