20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP030,MOGOLLA,452.5,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP331,DDGS,3063.5,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP000,MAIZ,29895,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP040,SOYA,9259.5,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP045,SOYA EXT,2499.5,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP010,BIOFOS,216.001,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP050,CALCIO GR,5038.501,63173
20160524,PTGR176,FASE 1 LANZA JAU,50638.74,MAMP015,ACEITE,214.24,63173
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP331,DDGS,1131.501,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP000,MAIZ,10886.5,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP040,SOYA,3510,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP045,SOYA EXT,1130.501,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP010,BIOFOS,112,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP050,CALCIO GR,1876,63174
20160524,PTGR162,POSPICO LAN JAU,18757.82,MAMP015,ACEITE,111.32,63174
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP331,DDGS,2274.788,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP000,MAIZ,21802.35,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP040,SOYA,6997.64,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP045,SOYA EXTRUIDA,2327.86,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP010,BIOFOS,227.252,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP050,CALCIO GRANO,3687.289,63175
20160524,PTGR162,POSPICO LAN JAU,37538.25,MAMP015,ACEITE,221.07,63175
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP331,DDGS,1324.503,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP000,MAIZ,14875.26,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP040,SOYA,4617.617,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP045,SOYA EXTRUIDA,2402.25,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP010,BIOFOS,207.293,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP050,CALCIO GRANO,2573.709,63176
20160524,PTGR151,PREPICO PON LR,26322.13,MAMP015,ACEITE,321.5,63176
20160524,PTGR161,POSPICO P L R,56515.35,MAMP331,DDGS,3418.14,63177
20160524,PTGR161,POSPICO P L R,56515.35,MAMP000,MAIZ,34183.27,63177
