id_empresa	id_formula	fecha	orden_empaque	id_ingrediente	cantidad_digitada	cant_calculada	cant_formula_total	cant_formula_batche	costo_unitario	costo_total	tipo_registro	orden_empaq_anterior	id_usuario	fec_registro	ind_macro
01	PTCI130	02/11/1999 00:00:00	13352	MAMP115	0	0	0	0	0	0	P	13351	IBPC	02/12/1999 17:25:38:53	S
01	PTCI120	02/11/1999 00:00:00	13351	MAMP080	0	0	0	0	1.00	0	C	13350	IBPC	02/12/1999 17:25:38:15	S
01	PTGR133	02/11/1999 00:00:00	13360	MIDR100	0	1.600	0	0	3100.00	4960.00	C		IBPC	02/12/1999 17:25:54:68	N
01	PTGR176	02/11/1999 00:00:00	13362	MAMP125	0	0	0	0	0	0	P	13361	IBPC	02/12/1999 17:25:41:61	S
01	PTCI160	02/11/1999 00:00:00	13354	MAMP095	0	0	0	0	488.72	0	P	13353	IBPC	02/12/1999 17:25:39:19	S
01	PTCI170	02/11/1999 00:00:00	13356	MAMP005	0	0	0	0	0	0	P	13355	IBPC	02/12/1999 17:25:39:57	S
01	PTRL110	02/11/1999 00:00:00	13358	MIDR050	0	0.900	0	0	28850.00	25965.00	C		IBPC	02/12/1999 17:25:54:57	N
01	PTCI171	02/11/1999 00:00:00	13357	MAMP040	260.000	0	0	0	669.12	0	P	13356	IBPC	02/12/1999 17:25:39:85	S
01	PTGR133	02/11/1999 00:00:00	13360	MIDR020	0	14.400	0	0	5200.28	74884.03	C		IBPC	02/12/1999 17:25:54:62	N
01	PTGR176	02/11/1999 00:00:00	13362	MAMP000	17547.000	1087.000	0	0	357.88	389015.56	P	13361	IBPC	02/12/1999 17:25:41:33	S
01	PTCI160	02/11/1999 00:00:00	13354	MAMP115	0	0	0	0	0	0	P	13353	IBPC	02/12/1999 17:25:39:19	S
01	PTCI150	02/11/1999 00:00:00	13353	MIDR075	0	0.054	0	0	341040.00	18416.16	C		IBPC	02/12/1999 17:25:54:29	N
01	PTGR133	02/11/1999 00:00:00	13360	MAMP015	393.000	220.000	0	0	1101.19	242261.80	P	13359	IBPC	02/12/1999 17:25:40:73	S
01	PTGR176	02/11/1999 00:00:00	13362	MAMP110	0	0	0	0	484.59	0	P	13361	IBPC	02/12/1999 17:25:41:5	S
01	PTCI160	02/11/1999 00:00:00	13354	MAMP060	0	0	0	0	49.80	0	P	13353	IBPC	02/12/1999 17:25:39:13	S
01	PTCI170	02/11/1999 00:00:00	13356	MAMP065	0	0	0	0	365.19	0	P	13355	IBPC	02/12/1999 17:25:39:68	S
01	PTGR176	02/11/1999 00:00:00	13362	MAMP085	0	0	0	0	456.00	0	P	13361	IBPC	02/12/1999 17:25:41:5	S
01	PTRL124	02/11/1999 00:00:00	13359	MAMP020	0	0	0	0	583.00	0	P	13358	IBPC	02/12/1999 17:25:40:45	S
01	PTGR133	02/11/1999 00:00:00	13360	MAMP125	0	0	0	0	0	0	P	13359	IBPC	02/12/1999 17:25:40:89	S
