id_empresa	id_formula	fecha	orden_empaque	tipo_registro	orden_empaque_anterior	cantidad_producida	n_batches	id_usuario	fec_registro	ind_macro	costo_m_prima_usada	cant_m_prima_usada	costo_unitario_orden
01	PTRP175	13/07/1998 00:00:00	8498	P	8497	12600.00	7.00	ERSS	24/08/1998 13:38:43:87	S	3882964.600	12534.000	309.790
01	PTRP155	13/07/1998 00:00:00	8490	P	8489	25200.00	14.00	ERSS	24/08/1998 13:38:38:66	S	7961794.170	25063.000	317.670
01	PTRP175	13/07/1998 00:00:00	8498	C		12600.00	7.00	ERSS	24/08/1998 13:39:09:3	N	277997.762	86.240	3223.540
01	PTGR150	13/07/1998 00:00:00	8488	P	8487	19800.00	11.00	ERSS	24/08/1998 13:38:37:5	S	6455436.460	19678.000	328.050
01	PTCI161	13/07/1998 00:00:00	8489	C		10800.00	6.00	ERSS	24/08/1998 13:39:05:62	N	170627.642	67.386	2532.090
01	PTRP134	13/07/1998 00:00:00	8492	P	8491	22400.00	16.00	ERSS	24/08/1998 13:38:39:97	S	6837339.100	22280.000	306.880
01	PTRP134	13/07/1998 00:00:00	8494	C		14000.00	10.00	ERSS	24/08/1998 13:39:07:49	N	236543.700	93.700	2524.480
01	PTCI161	13/07/1998 00:00:00	8489	P	8488	10800.00	6.00	ERSS	24/08/1998 13:38:38:05	S	3482751.110	10751.000	323.950
01	PTRP192	13/07/1998 00:00:00	8495	P	8494	1400.00	1.00	ERSS	24/08/1998 13:38:42:01	S	409039.660	1399.000	292.380
01	PTCI151	13/07/1998 00:00:00	8493	P	8492	9000.00	5.00	ERSS	24/08/1998 13:38:40:58	S	2954419.140	8959.000	329.770
01	PTGR152	13/07/1998 00:00:00	8502	P	8501	5400.00	3.00	ERSS	24/08/1998 13:38:46:18	S	1763107.910	5366.000	328.570
01	PTGR162	13/07/1998 00:00:00	8499	P	8498	48600.00	27.00	ERSS	24/08/1998 13:38:44:42	S	15637827.580	48323.000	323.610
01	PTGR150	14/07/1998 00:00:00	8514	P	8513	32400.00	18.00	ERSS	24/08/1998 13:41:47:27	S	10592237.830	32200.000	328.950
01	PTCI152	14/07/1998 00:00:00	8507	C		9000.00	5.00	ERSS	24/08/1998 13:42:05:12	N	166423.577	61.005	2728.030
01	PTRP134	14/07/1998 00:00:00	8511	C		15400.00	11.00	ERSS	24/08/1998 13:42:06:71	N	260198.070	103.070	2524.480
01	PTCI152	14/07/1998 00:00:00	8507	P	8506	9000.00	5.00	ERSS	24/08/1998 13:41:42:93	S	2946725.020	8941.000	329.570
01	PTCI170	14/07/1998 00:00:00	8506	P	8505	25200.00	14.00	ERSS	24/08/1998 13:41:42:33	S	7973002.890	25081.000	317.890
01	PTCI150	14/07/1998 00:00:00	8508	C		9000.00	5.00	ERSS	24/08/1998 13:42:05:56	N	165515.632	63.055	2624.940
01	PTCI170	14/07/1998 00:00:00	8506	C		25200.00	14.00	ERSS	24/08/1998 13:42:04:74	N	404080.633	160.314	2520.560
01	PTRP191	14/07/1998 00:00:00	8505	P	8504	21000.00	15.00	ERSS	24/08/1998 13:41:41:78	S	6123073.450	20900.000	292.970
01	PTRP134	14/07/1998 00:00:00	8511	P	8510	15400.00	11.00	ERSS	24/08/1998 13:41:45:46	S	4716872.950	15328.000	307.730
01	PTGR152	14/07/1998 00:00:00	8515	C		48600.00	27.00	ERSS	24/08/1998 13:42:08:31	N	1070731.314	324.567	3298.950
01	PTGR152	14/07/1998 00:00:00	8515	P	8514	48600.00	27.00	ERSS	24/08/1998 13:41:47:98	S	15941722.630	48341.000	329.780
01	PTGR150	14/07/1998 00:00:00	8513	P	8512	16200.00	9.00	ERSS	24/08/1998 13:41:46:72	S	5297418.730	16102.000	328.990
01	PTCI161	14/07/1998 00:00:00	8510	P	8509	36000.00	20.00	ERSS	24/08/1998 13:41:44:85	S	11645960.080	35855.000	324.810
01	PTGR162	14/07/1998 00:00:00	8512	C		48600.00	27.00	ERSS	24/08/1998 13:42:07:1	N	1060183.413	322.137	3291.090
01	PTCI161	14/07/1998 00:00:00	8510	C		36000.00	20.00	ERSS	24/08/1998 13:42:06:33	N	568758.807	224.620	2532.090
01	PTCI150	14/07/1998 00:00:00	8508	P	8507	9000.00	5.00	ERSS	24/08/1998 13:41:43:7	S	2949455.010	8959.000	329.220
01	PTGR130	14/07/1998 00:00:00	8516	C		16800.00	12.00	ERSS	24/08/1998 13:42:08:69	N	391413.053	138.024	2835.830
