id_empresa	cod_granja	cod_lote	tipo_lote	fecha_consumo	edad_lote	consumo_h	formula_h	costo_consumo_h	consumo_m	formula_m	costo_consumo_m	costo_total_consumo_h	costo_total_consumo_m	id_usuario	fec_registro
01	044	RLAS004	B	01/01/1999 00:00:00	41	160	PTRL172	0	0	NO	0	68472.00	0	JODU	05/05/1999 17:52:59:7
01	046	RPHU10G	P	01/01/1999 00:00:00	12	707	PTRP134	0	157	PTRP134	0	289120.58	64203.58	JODU	05/05/1999 17:53:31:51
01	054	RPHU09E	B	01/01/1999 00:00:00	14	1790	PTRP155	0	166	PTRP191	0	733201.90	64857.86	JODU	05/05/1999 17:53:23:65
01	066	RPHU08D	B	01/01/1999 00:00:00	49	880	PTRP174	0	71	PTRP191	0	339891.20	27740.41	JODU	05/05/1999 17:53:16:24
01	029	RPAH077	B	01/01/1999 00:00:00	35	1003	PTRP155	0	72	PTRP191	0	410838.83	28131.12	JODU	05/05/1999 17:53:08
01	046	RPHU10E1	P	01/01/1999 00:00:00	16	907	PTRP134	0	140	PTRP134	0	370908.58	57251.60	JODU	05/05/1999 17:53:30:19
01	066	RPHU08C	B	01/01/1999 00:00:00	51	560	PTRP174	0	52	PTRP191	0	216294.40	20316.92	JODU	05/05/1999 17:53:15:52
01	054	RPHU10A	B	01/01/1999 00:00:00	3	780	PTRP155	0	84	PTRP191	0	319495.80	32819.64	JODU	05/05/1999 17:53:25:46
01	032	COXL166	P	01/01/1999 00:00:00	8	3270	PTGR120	0	0	NO	0	1450310.40	0	JODU	05/05/1999 17:52:56:52
01	037	COXL153B	B	01/01/1999 00:00:00	48	2960	PTCI150	0	0	NO	0	1263387.20	0	JODU	05/05/1999 17:52:48:66
01	023	COXL147	B	01/01/1999 00:00:00	44	790	PTGR160	0	0	NO	0	326775.60	0	JODU	05/05/1999 17:52:45:31
01	038	RPHU09D	B	01/01/1999 00:00:00	35	1639	PTRP155	0	131	PTRP191	0	671350.79	51183.01	JODU	05/05/1999 17:53:23:05
01	039	RPHU11A	P	01/01/1999 00:00:00	8	936	PTRP134	0	190	PTRP134	0	382767.84	77698.60	JODU	05/05/1999 17:53:32:77
01	039	RPHU11C	P	01/01/1999 00:00:00	5	539	PTRP134	0	130	PTRP134	0	220418.66	53162.20	JODU	05/05/1999 17:53:34:03
01	054	RPHU09F	B	01/01/1999 00:00:00	34	760	PTRP155	0	65	PTRP191	0	311303.60	25396.15	JODU	05/05/1999 17:53:24:31
01	045	RLIW003	P	01/01/1999 00:00:00	7	140	PTRL137	0	0	NO	0	59488.80	0	JODU	05/05/1999 17:53:03:82
01	016	RPAH075	B	01/01/1999 00:00:00	55	718	PTRP174	0	66	PTRP191	0	277320.32	25786.86	JODU	05/05/1999 17:53:06:29
01	046	RPHU1OE	P	01/01/1999 00:00:00	16	0	NO	0	0	NO	0	0	0	JODU	05/05/1999 17:53:36:28
01	044	RLAS005	B	01/01/1999 00:00:00	2	0	NO	0	0	NO	0	0	0	JODU	05/05/1999 17:53:00:42
01	016	RPAH074	B	01/01/1999 00:00:00	68	0	NO	0	0	NO	0	0	0	JODU	05/05/1999 17:53:05:8
01	036	COIW001	P	01/01/1999 00:00:00	3	400	PTCI120	0	0	NO	0	178564.00	0	JODU	05/05/1999 17:52:39:05
01	033	RPAM078	P	01/01/1999 00:00:00	6	0	NO	0	0	NO	0	0	0	JODU	05/05/1999 17:53:12:01
01	014	RPHU5HR	B	01/01/1999 00:00:00	99	0	NO	0	20	PTRP191	0	0	7814.20	JODU	05/05/1999 17:53:36:89
01	028	COXL161	B	01/01/1999 00:00:00	8	5450	PTGR150	0	0	NO	0	2309001.50	0	JODU	05/05/1999 17:52:52:95
01	023	COGL31A	B	01/01/1999 00:00:00	43	1290	PTGR160	0	0	NO	0	533595.60	0	JODU	05/05/1999 17:52:38:28
01	052	RPHU08G	B	01/01/1999 00:00:00	45	911	PTRP155	0	78	PTRP191	0	373154.71	30475.38	JODU	05/05/1999 17:53:18:82
01	048	RPAH076	B	01/01/1999 00:00:00	44	571	PTRP155	0	50	PTRP191	0	233887.31	19535.50	JODU	05/05/1999 17:53:07:12
01	044	RLIW001	B	01/01/1999 00:00:00	40	600	PTRL153	0	0	NO	0	262764.00	0	JODU	05/05/1999 17:53:01:79
01	047	RPHU09A	B	01/01/1999 00:00:00	40	845	PTRP155	0	71	PTRP191	0	346120.45	27740.41	JODU	05/05/1999 17:53:21:01
01	032	COSP006	P	01/01/1999 00:00:00	12	2990	PTGR130	0	0	NO	0	1210950.00	0	JODU	05/05/1999 17:52:42:73
01	019	COXL158	B	01/01/1999 00:00:00	37	1370	PTCI142	0	0	NO	0	565357.90	0	JODU	05/05/1999 17:52:50:92
01	052	RPHU08F	B	01/01/1999 00:00:00	45	759	PTRP155	0	70	PTRP191	0	310893.99	27349.70	JODU	05/05/1999 17:53:17:5
01	032	COSP007	P	01/01/1999 00:00:00	4	440	PTGR120	0	0	NO	0	195148.80	0	JODU	05/05/1999 17:52:43:45
01	038	RPHU09C	B	01/01/1999 00:00:00	36	1009	PTRP155	0	82	PTRP191	0	413296.49	32038.22	JODU	05/05/1999 17:53:22:33
01	016	RPAM075	B	01/01/1999 00:00:00	55	166	PTRP174	0	15	PTRP191	0	64115.84	5860.65	JODU	05/05/1999 17:53:10:08
01	020	COXL155	B	01/01/1999 00:00:00	43	2640	PTCI150	0	0	NO	0	1126804.80	0	JODU	05/05/1999 17:52:49:82
01	020	COXL160	B	01/01/1999 00:00:00	24	2440	PTCI150	0	0	NO	0	1041440.80	0	JODU	05/05/1999 17:52:52:4
01	032	COXL165	P	01/01/1999 00:00:00	10	2360	PTGR120	0	0	NO	0	1046707.20	0	JODU	05/05/1999 17:52:55:91
01	021	RPHU10B	P	01/01/1999 00:00:00	20	0	NO	0	19	PTRP134	0	0	7769.86	JODU	05/05/1999 17:53:27:94
01	041	COXL159	B	01/01/1999 00:00:00	17	5160	PTCI150	0	0	NO	0	2202391.20	0	JODU	05/05/1999 17:52:51:41
01	054	RPHU09G	B	01/01/1999 00:00:00	32	1040	PTRP155	0	82	PTRP191	0	425994.40	32038.22	JODU	05/05/1999 17:53:24:91
01	033	RPAH078A	P	01/01/1999 00:00:00	3	71	PTRP134	0	14	PTRP134	0	29034.74	5725.16	JODU	05/05/1999 17:53:09:21
01	044	RLIW002	B	01/01/1999 00:00:00	4	420	PTRL153	0	0	NO	0	183934.80	0	JODU	05/05/1999 17:53:02:5
01	020	COXL156	B	01/01/1999 00:00:00	42	1600	PTGR150	0	0	NO	0	677872.00	0	JODU	05/05/1999 17:52:50:37
01	023	COXL150	B	01/01/1999 00:00:00	38	2850	PTGR160	0	0	NO	0	1178874.00	0	JODU	05/05/1999 17:52:47:62
01	039	RPHU11B	P	01/01/1999 00:00:00	7	976	PTRP134	0	229	PTRP134	0	399125.44	93647.26	JODU	05/05/1999 17:53:33:43
01	066	RPHU08F	B	01/01/1999 00:00:00	45	880	PTRP155	0	79	PTRP191	0	360456.80	30866.09	JODU	05/05/1999 17:53:18:16
01	044	RLXL027	B	01/01/1999 00:00:00	58	640	PTRL172	0	0	NO	0	273888.00	0	JODU	05/05/1999 17:53:04:54
01	032	COSP005	P	01/01/1999 00:00:00	15	3400	PTGR130	0	0	NO	0	1377000.00	0	JODU	05/05/1999 17:52:42:18
01	052	RPHU08H	B	01/01/1999 00:00:00	42	1035	PTRP155	0	77	PTRP191	0	423946.35	30084.67	JODU	05/05/1999 17:53:19:48
01	044	RLAS002	B	01/01/1999 00:00:00	76	560	PTRL172	0	0	NO	0	239652.00	0	JODU	05/05/1999 17:52:58:28
01	045	RLIW002	P	01/01/1999 00:00:00	20	15	PTRL137	0	0	NO	0	6373.80	0	JODU	05/05/1999 17:53:03:22
01	051	RPHU08B	B	01/01/1999 00:00:00	55	920	PTRP174	0	69	PTRP191	0	355340.80	26958.99	JODU	05/05/1999 17:53:15:19
01	045	RLAS006	P	01/01/1999 00:00:00	7	144	PTRL137	0	0	NO	0	61188.48	0	JODU	05/05/1999 17:53:01:13
01	020	COSP002	B	01/01/1999 00:00:00	34	2440	PTCI150	0	0	NO	0	1041440.80	0	JODU	05/05/1999 17:52:40:81
01	028	COXL162	B	01/01/1999 00:00:00	6	4435	PTGR150	0	0	NO	0	1878976.45	0	JODU	05/05/1999 17:52:53:44
01	020	COXL154	B	01/01/1999 00:00:00	43	1360	PTCI152	0	0	NO	0	570819.20	0	JODU	05/05/1999 17:52:49:16
