id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTRP134	15/07/1998 00:00:00	12600.000	9.000	12625.330	4074781.050	322.750	ERSS	24/08/1998 13:45:11:81
01	PTCI150	16/07/1998 00:00:00	25200.000	14.000	25227.554	8706314.179	345.110	ERSS	24/08/1998 13:48:19:11
01	PTCI180	16/07/1998 00:00:00	9000.000	5.000	9011.435	2914066.527	323.370	ERSS	24/08/1998 13:48:19:33
01	PTCI165	16/07/1998 00:00:00	3600.000	2.000	3596.922	1214434.697	337.630	ERSS	24/08/1998 13:48:19:27
01	PTRP155	16/07/1998 00:00:00	36000.000	20.000	36050.400	12023505.780	333.520	ERSS	24/08/1998 13:48:19:82
01	PTGR174	16/07/1998 00:00:00	16200.000	9.000	16218.780	5291773.098	326.270	ERSS	24/08/1998 13:48:19:6
01	PTCI111	16/07/1998 00:00:00	1800.000	1.000	1802.104	675792.187	375.000	ERSS	24/08/1998 13:48:19
01	PTGR120	16/07/1998 00:00:00	5400.000	3.000	5398.258	1937636.569	358.940	ERSS	24/08/1998 13:48:19:38
01	PTGR162	16/07/1998 00:00:00	48600.000	27.000	48620.997	16609749.933	341.620	ERSS	24/08/1998 13:48:19:55
01	PTCI164	16/07/1998 00:00:00	9000.000	5.000	8998.855	3045776.839	338.460	ERSS	24/08/1998 13:48:19:22
01	PTRL173	16/07/1998 00:00:00	1800.000	1.000	1802.727	615859.614	341.630	ERSS	24/08/1998 13:48:19:71
01	PTGR150	16/07/1998 00:00:00	37800.000	21.000	37810.831	13091302.203	346.230	ERSS	24/08/1998 13:48:19:49
01	PTRL141	16/07/1998 00:00:00	3600.000	2.000	3599.120	1204366.798	334.630	ERSS	24/08/1998 13:48:19:66
01	PTRP134	16/07/1998 00:00:00	28000.000	20.000	28054.400	9052741.820	322.690	ERSS	24/08/1998 13:48:19:77
01	PTGR130	16/07/1998 00:00:00	11200.000	8.000	11211.016	3629933.694	323.780	ERSS	24/08/1998 13:48:19:44
01	PTCI151	16/07/1998 00:00:00	27000.000	15.000	27070.115	9375382.170	346.340	ERSS	24/08/1998 13:48:19:16
01	PTCI160	16/07/1998 00:00:00	19800.000	11.000	19802.501	6730941.478	339.900	ERSS	24/08/1998 13:48:19:22
01	PTCI120	16/07/1998 00:00:00	12600.000	7.000	12615.602	4531219.693	359.180	ERSS	24/08/1998 13:48:19:05
01	PTGR162	17/07/1998 00:00:00	57600.000	32.000	57598.552	19676223.711	341.610	ERSS	24/08/1998 13:50:13:08
01	PTRP134	17/07/1998 00:00:00	9800.000	7.000	9815.590	3165708.007	322.520	ERSS	24/08/1998 13:50:13:3
01	PTRP155	17/07/1998 00:00:00	27000.000	15.000	26982.300	9008587.756	333.870	ERSS	24/08/1998 13:50:13:35
01	PTGR150	17/07/1998 00:00:00	27000.000	15.000	27007.165	9352237.090	346.290	ERSS	24/08/1998 13:50:12:97
01	PTCI160	17/07/1998 00:00:00	36000.000	20.000	36009.820	12241386.932	339.950	ERSS	24/08/1998 13:50:12:86
01	PTRL154	17/07/1998 00:00:00	3600.000	2.000	3604.534	1272629.950	353.060	ERSS	24/08/1998 13:50:13:19
01	PTRP174	17/07/1998 00:00:00	18000.000	10.000	18050.200	5881265.074	325.830	ERSS	24/08/1998 13:50:13:46
01	PTRL172	17/07/1998 00:00:00	12600.000	7.000	12605.089	4344529.147	344.660	ERSS	24/08/1998 13:50:13:24
01	PTCI151	17/07/1998 00:00:00	18000.000	10.000	17999.410	6255352.779	347.530	ERSS	24/08/1998 13:50:12:8
01	PTCI171	17/07/1998 00:00:00	1800.000	1.000	1798.221	597950.339	332.520	ERSS	24/08/1998 13:50:12:91
01	PTGR176	17/07/1998 00:00:00	32400.000	18.000	32376.018	10884171.757	336.180	ERSS	24/08/1998 13:50:13:13
01	PTGR152	17/07/1998 00:00:00	45000.000	25.000	45028.025	15650821.451	347.580	ERSS	24/08/1998 13:50:13:02
