id_empresa	id_formula	fecha	orden_empaque	id_ingrediente	cantidad_digitada	cant_calculada	cant_formula_total	cant_formula_batche	costo_unitario	costo_total	tipo_registro	orden_empaq_anterior	id_usuario	fec_registro	ind_macro
01	PTRP155	01/12/1998 00:00:00	9849	MAMP060	0	0	0	0	37.01	0	P	9848	IBPC	15/01/1999 11:43:40:95	S
01	PTGR120	01/12/1998 00:00:00	9852	MIDR020	0	21.060	0	0	5011.94	105551.46	C		IBPC	15/01/1999 11:44:26:37	N
01	PTRL153	01/12/1998 00:00:00	9846	MIDR030	0	5.000	0	0	11.00	55.00	C		IBPC	15/01/1999 11:44:25:6	N
01	PTGR174	01/12/1998 00:00:00	9854	MIDR085	0	0.360	0	0	1579.96	568.79	C		IBPC	15/01/1999 11:44:26:81	N
01	PTGR120	01/12/1998 00:00:00	9852	MAMP055	16895.000	0	0	0	34.98	0	P	9851	IBPC	15/01/1999 11:43:41:61	S
01	PTGR162	01/12/1998 00:00:00	9850	MIDR070	0	20.700	0	0	10583.35	219075.35	C		IBPC	15/01/1999 11:44:26:15	N
01	PTRP155	01/12/1998 00:00:00	9849	MIDR130	0	3.780	0	0	3244.80	12265.34	C		IBPC	15/01/1999 11:44:26:1	N
01	PTCI170	01/12/1998 00:00:00	9844	MIDR090	0	0.486	0	0	34701.22	16864.79	C		IBPC	15/01/1999 11:44:25:33	N
01	PTGR176	01/12/1998 00:00:00	9851	MIDR090	0	0.648	0	0	34701.22	22486.39	C		IBPC	15/01/1999 11:44:26:37	N
01	PTRP155	01/12/1998 00:00:00	9849	MAMP030	684.000	0	0	0	213.81	0	P	9848	IBPC	15/01/1999 11:43:40:84	S
01	PTCI170	01/12/1998 00:00:00	9844	MAMP020	0	0	0	0	537.49	0	C	9843	IBPC	15/01/1999 11:43:39:46	S
01	PTCI170	01/12/1998 00:00:00	9844	MAMP030	0	0	0	0	213.81	0	C	9843	IBPC	15/01/1999 11:43:39:46	S
01	PTGR176	01/12/1998 00:00:00	9851	MAMP020	3291.000	1198.000	0	0	537.49	643913.02	P	9850	IBPC	15/01/1999 11:43:41:28	S
01	PTCI171	01/12/1998 00:00:00	9845	MAMP040	7527.000	5373.000	0	0	496.81	2669360.13	P	9844	IBPC	15/01/1999 11:43:39:85	S
01	PTGR120	01/12/1998 00:00:00	9852	MAMP040	26523.000	1808.000	0	0	496.81	898232.48	P	9851	IBPC	15/01/1999 11:43:41:55	S
01	PTGR160	01/12/1998 00:00:00	9855	MIDR090	0	0.540	0	0	34701.22	18738.66	C		IBPC	15/01/1999 11:44:26:92	N
01	PTRP175	01/12/1998 00:00:00	9848	MAMP030	684.000	604.000	0	0	213.81	129141.24	P	9847	IBPC	15/01/1999 11:43:40:62	S
01	PTCI170	01/12/1998 00:00:00	9844	MIDR020	0	19.440	0	0	5011.94	97432.11	C		IBPC	15/01/1999 11:44:25:22	N
01	PTRP175	01/12/1998 00:00:00	9848	MAMP020	0	0	0	0	537.49	0	P	9847	IBPC	15/01/1999 11:43:40:62	S
01	PTRP156	01/12/1998 00:00:00	9847	MIDR005	0	7.200	0	0	10715.62	77152.46	C		IBPC	15/01/1999 11:44:25:71	N
01	PTGR120	01/12/1998 00:00:00	9852	MAMP025	1299.000	0	0	0	220.35	0	P	9851	IBPC	15/01/1999 11:43:41:55	S
01	PTGR162	01/12/1998 00:00:00	9850	MAMP040	22797.000	4425.000	0	0	496.81	2198384.25	P	9849	IBPC	15/01/1999 11:43:41:11	S
01	PTRL153	01/12/1998 00:00:00	9846	MAMP030	80.000	80.000	0	0	213.81	17104.80	P	9845	IBPC	15/01/1999 11:43:40:07	S
01	PTGR152	01/12/1998 00:00:00	9853	MAMP025	1299.000	0	0	0	220.35	0	P	9852	IBPC	15/01/1999 11:43:41:77	S
01	PTCI170	01/12/1998 00:00:00	9844	MIDR130	0	1.890	0	0	3244.80	6132.67	C		IBPC	15/01/1999 11:44:25:38	N
01	PTGR120	01/12/1998 00:00:00	9852	MIDR130	0	1.260	0	0	3244.80	4088.45	C		IBPC	15/01/1999 11:44:26:54	N
01	PTRP155	01/12/1998 00:00:00	9849	MAMP050	0	0	0	0	52.00	0	P	9848	IBPC	15/01/1999 11:43:40:89	S
01	PTGR152	01/12/1998 00:00:00	9853	MAMP040	30910.000	4387.000	0	0	496.81	2179505.47	P	9852	IBPC	15/01/1999 11:43:41:83	S
01	PTGR174	01/12/1998 00:00:00	9854	MAMP060	0	0	0	0	37.01	0	P	9853	IBPC	15/01/1999 11:43:42:16	S
01	PTGR162	01/12/1998 00:00:00	9850	MAMP030	1626.000	942.000	0	0	213.81	201409.02	P	9849	IBPC	15/01/1999 11:43:41:11	S
01	PTCI170	01/12/1998 00:00:00	9844	MAMP060	0	0	0	0	37.01	0	C	9843	IBPC	15/01/1999 11:43:39:57	S
01	PTRL153	01/12/1998 00:00:00	9846	MIDR020	0	16.150	0	0	5011.94	80942.83	C		IBPC	15/01/1999 11:44:25:55	N
01	PTCI171	01/12/1998 00:00:00	9845	MIDR140	0	0.300	0	0	170000.00	51000.00	C		IBPC	15/01/1999 11:44:25:55	N
01	PTGR174	01/12/1998 00:00:00	9854	MIDR065	0	5.300	0	0	100.32	531.70	C		IBPC	15/01/1999 11:44:26:75	N
01	PTGR162	01/12/1998 00:00:00	9850	MIDR090	0	1.242	0	0	34701.22	43098.92	C		IBPC	15/01/1999 11:44:26:21	N
01	PTGR120	01/12/1998 00:00:00	9852	MIDR055	0	6.480	0	0	1303.95	8449.60	C		IBPC	15/01/1999 11:44:26:43	N
01	PTRL153	01/12/1998 00:00:00	9846	MIDR005	0	4.500	0	0	10715.62	48220.29	C		IBPC	15/01/1999 11:44:25:55	N
01	PTGR174	01/12/1998 00:00:00	9854	MAMP035	0	0	0	0	22.14	0	P	9853	IBPC	15/01/1999 11:43:42:05	S
01	PTGR152	01/12/1998 00:00:00	9853	MAMP045	21116.000	3568.000	0	0	451.97	1612628.96	P	9852	IBPC	15/01/1999 11:43:41:83	S
01	PTGR176	01/12/1998 00:00:00	9851	MIDR075	0	0.324	0	0	278995.11	90394.42	C		IBPC	15/01/1999 11:44:26:32	N
01	PTGR162	01/12/1998 00:00:00	9850	MIDR055	0	24.840	0	0	1303.95	32390.12	C		IBPC	15/01/1999 11:44:26:15	N
01	PTGR160	01/12/1998 00:00:00	9855	MIDR055	0	10.800	0	0	1303.95	14082.66	C		IBPC	15/01/1999 11:44:26:86	N
01	PTGR120	01/12/1998 00:00:00	9852	MAMP010	2396.000	162.000	0	0	524.97	85045.14	P	9851	IBPC	15/01/1999 11:43:41:5	S
01	PTGR176	01/12/1998 00:00:00	9851	MAMP050	0	0	0	0	52.00	0	P	9850	IBPC	15/01/1999 11:43:41:39	S
01	PTGR160	01/12/1998 00:00:00	9855	MAMP000	147098.000	9738.000	0	0	350.21	3410344.98	P	9854	IBPC	15/01/1999 11:43:42:16	S
01	PTGR174	01/12/1998 00:00:00	9854	MIDR130	0	0.210	0	0	3244.80	681.41	C		IBPC	15/01/1999 11:44:26:81	N
01	PTGR176	01/12/1998 00:00:00	9851	MAMP015	945.000	108.000	0	0	1050.75	113481.00	P	9850	IBPC	15/01/1999 11:43:41:28	S
01	PTRL153	01/12/1998 00:00:00	9846	MAMP045	6737.000	1081.000	0	0	451.97	488579.57	P	9845	IBPC	15/01/1999 11:43:40:12	S
01	PTGR176	01/12/1998 00:00:00	9851	MAMP010	2234.000	174.000	0	0	524.97	91344.78	P	9850	IBPC	15/01/1999 11:43:41:28	S
01	PTCI170	01/12/1998 00:00:00	9844	MIDR085	0	5.670	0	0	1579.96	8958.37	C		IBPC	15/01/1999 11:44:25:33	N
01	PTGR162	01/12/1998 00:00:00	9850	MIDR085	0	18.630	0	0	1579.96	29434.65	C		IBPC	15/01/1999 11:44:26:21	N
01	PTRP156	01/12/1998 00:00:00	9847	MIDR030	0	8.000	0	0	11.00	88.00	C		IBPC	15/01/1999 11:44:25:77	N
01	PTGR174	01/12/1998 00:00:00	9854	MIDR020	0	1.450	0	0	5011.94	7267.31	C		IBPC	15/01/1999 11:44:26:75	N
01	PTCI170	01/12/1998 00:00:00	9844	MAMP005	0	0	0	0	0	0	C	9843	IBPC	15/01/1999 11:43:39:41	S
01	PTGR162	01/12/1998 00:00:00	9850	MAMP045	14298.000	4563.000	0	0	451.97	2062339.11	P	9849	IBPC	15/01/1999 11:43:41:17	S
01	PTGR152	01/12/1998 00:00:00	9853	MAMP050	150.000	0	0	0	52.00	0	P	9852	IBPC	15/01/1999 11:43:41:88	S
01	PTRP155	01/12/1998 00:00:00	9849	MIDR030	0	18.000	0	0	11.00	198.00	C		IBPC	15/01/1999 11:44:26:04	N
01	PTCI171	01/12/1998 00:00:00	9845	MIDR020	0	42.000	0	0	5011.94	210501.48	C		IBPC	15/01/1999 11:44:25:38	N
01	PTRL153	01/12/1998 00:00:00	9846	MIDR085	0	4.500	0	0	1579.96	7109.82	C		IBPC	15/01/1999 11:44:25:66	N
01	PTRP175	01/12/1998 00:00:00	9848	MAMP045	8162.000	725.000	0	0	451.97	327678.25	P	9847	IBPC	15/01/1999 11:43:40:67	S
01	PTGR160	01/12/1998 00:00:00	9855	MIDR085	0	7.200	0	0	1579.96	11375.71	C		IBPC	15/01/1999 11:44:26:92	N
01	PTGR174	01/12/1998 00:00:00	9854	MAMP045	21261.000	145.000	0	0	451.97	65535.65	P	9853	IBPC	15/01/1999 11:43:42:1	S
01	PTRL153	01/12/1998 00:00:00	9846	MAMP005	0	0	0	0	0	0	P	9845	IBPC	15/01/1999 11:43:40:01	S
01	PTGR162	01/12/1998 00:00:00	9850	MAMP055	14718.000	3924.000	0	0	34.98	137261.52	P	9849	IBPC	15/01/1999 11:43:41:17	S
01	PTRL153	01/12/1998 00:00:00	9846	MAMP020	0	0	0	0	537.49	0	P	9845	IBPC	15/01/1999 11:43:40:01	S
01	PTCI171	01/12/1998 00:00:00	9845	MAMP050	0	0	0	0	52.00	0	P	9844	IBPC	15/01/1999 11:43:39:9	S
