id_empresa	cod_granja	id_semana	id_mes	id_year	cod_formula	bultos	kilos	costo	f_inicio	f_fin	id_usuario	fec_registro
01	024	1	6	1998	PTRP155	630	25200	7389396.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:41:25:23
01	050	1	6	1998	PTGR155	725	29000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:31:25:77
01	066	1	6	1998	PTRP192	16	640	182592.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:28:11:66
01	044	1	6	1998	PTRL124	38	1520	508288.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:58:33:27
01	037	1	6	1998	PTCI150	600	24000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:23:11:7
01	041	1	6	1998	MAMP060	3	120	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:25:22:86
01	027	1	6	1998	PTCI161	320	12800	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:31:54:26
01	043	1	6	1998	PTCI171	130	5200	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:32:50:17
01	026	1	6	1998	MAMP060	6	240	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:30:14:68
01	041	1	6	1998	PTCI170	775	31000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:25:11:27
01	030	1	6	1998	PTRP155	710	28400	8327732.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:34:39
01	017	1	6	1998	MAMP060	2	80	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:38:28:92
01	038	1	6	1998	PTRP191	40	1600	447392.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:49:23:96
01	021	1	6	1998	PTRP134	150	6000	1810080.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:04:51:7
01	044	1	6	1998	PTRL154	195	7800	2412072.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:58:14:1
01	053	1	6	1998	PTCI161	450	18000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:15:14:83
01	025	1	6	1998	MAMP060	8	320	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:31:26:74
01	042	1	6	1998	PTRP191	50	2000	559240.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:01:11:95
01	038	1	6	1998	PTRP193	50	2000	456860.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:49:07:42
01	032	1	6	1998	PTCI120	115	4600	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:08:44:42
01	019	1	6	1998	PTGR152	3200	128000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:20:21:81
01	042	1	6	1998	PTRP156	165	6600	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 16:15:37:94
01	018	1	6	1998	PTCI160	550	22000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:10:47:02
01	014	1	6	1998	PTRP191	17	680	190141.60	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:44:04:73
01	023	1	6	1998	PTGR150	2000	80000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:19:19:53
01	014	1	6	1998	MAMP060	3	120	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:44:31:37
01	066	1	6	1998	PTRP156	166	6640	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	04/06/1998 17:01:25:15
01	033	1	6	1998	PTRP134	80	3200	965376.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:07:00:12
01	066	1	6	1998	PTRP134	140	5600	1689408.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:29:09:72
01	039	1	6	1998	PTRP123	60	2400	768624.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:07:44:33
01	250	1	6	1998	MAMP060	8	320	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:24:10:69
01	019	1	6	1998	MAMP060	28	1120	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:22:00:57
01	028	1	6	1998	PTGR170	1600	64000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:13:35:91
01	056	1	6	1998	PTCI161	630	25200	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:22:37:92
01	050	1	6	1998	PTRP191	68	2720	760566.40	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:32:47:17
01	047	1	6	1998	PTRP174	350	14000	4105220.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 14:42:26:52
01	018	1	6	1998	PTCI161	600	24000	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:11:05:36
01	043	1	6	1998	PTCI180	220	8800	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:33:14:78
01	029	1	6	1998	PTRL173	20	800	247392.00	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:02:49:93
01	025	1	6	1998	PTCI161	640	25600	0	01/06/1998 00:00:00	06/06/1998 00:00:00	JEM	28/05/1998 15:30:42:3
