id_empresa	id_formula	fecha	orden_empaque	id_ingrediente	cantidad_digitada	cant_calculada	cant_formula_total	cant_formula_batche	costo_unitario	costo_total	tipo_registro	orden_empaq_anterior	id_usuario	fec_registro	ind_macro
01	PTCI111	22/07/1998 00:00:00	8592	MAMP060	0	0	0	0	45.00	0	P	8591	ERSS	24/08/1998 13:54:57:37	S
01	PTCI111	22/07/1998 00:00:00	8592	MIDR020	0	5.380	0	0	4340.70	23352.97	C		ERSS	24/08/1998 13:55:20:06	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR030	0	2.000	0	0	11.00	22.00	C		ERSS	24/08/1998 13:55:20:11	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR040	0	0.280	0	0	3772.06	1056.18	C		ERSS	24/08/1998 13:55:20:17	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR050	0	1.440	0	0	22087.36	31805.80	C		ERSS	24/08/1998 13:55:20:22	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR055	0	2.160	0	0	1207.00	2607.12	C		ERSS	24/08/1998 13:55:20:28	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR065	0	10.800	0	0	100.00	1080.00	C		ERSS	24/08/1998 13:55:20:28	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR085	0	1.440	0	0	1392.09	2004.61	C		ERSS	24/08/1998 13:55:20:33	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR090	0	0.108	0	0	30965.00	3344.22	C		ERSS	24/08/1998 13:55:20:39	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR095	0	0.180	0	0	13762.00	2477.16	C		ERSS	24/08/1998 13:55:20:44	N
01	PTCI111	22/07/1998 00:00:00	8592	MIDR130	0	0.420	0	0	2950.00	1239.00	C		ERSS	24/08/1998 13:55:20:5	N
01	PTCI111	27/07/1998 00:00:00	8642	MAMP000	3523024.000	5291.000	0	0	304.39	1610527.49	P	8641	ERSS	24/08/1998 14:03:44:33	S
01	PTCI111	27/07/1998 00:00:00	8642	MAMP005	0	0	0	0	0	0	P	8641	ERSS	24/08/1998 14:03:44:38	S
01	PTCI111	27/07/1998 00:00:00	8642	MAMP010	57460.000	172.000	0	0	495.54	85232.88	P	8641	ERSS	24/08/1998 14:03:44:44	S
01	PTCI111	27/07/1998 00:00:00	8642	MAMP015	37182.000	25.000	0	0	846.98	21174.50	P	8641	ERSS	24/08/1998 14:03:44:49	S
