id_empresa	cod_granja	cod_lote	tipo_lote	fecha_consumo	edad_lote	consumo_h	formula_h	costo_consumo_h	consumo_m	formula_m	costo_consumo_m	costo_total_consumo_h	costo_total_consumo_m	id_usuario	fec_registro
01	014	RPHU4AR	B	01/07/1998 00:00:00	98	1339	PTRP174	0	87	PTRP191	0	460013.45	28054.89	JODU	26/08/1998 00:00:00
01	024	RPHU07C	B	01/07/1998 00:00:00	39	567	PTRP155	0	54	PTRP191	0	198880.92	17413.38	JODU	26/08/1998 00:00:00
01	039	RPHU09D	P	01/07/1998 00:00:00	9	1132	PTRP134	0	48	PTRP134	0	384031.00	16284.00	JODU	26/08/1998 00:00:00
01	054	RPHU4JR	B	01/07/1998 00:00:00	83	3947	PTRP155	0	270	PTRP191	0	1384449.72	87066.90	JODU	26/08/1998 00:00:00
01	033	RPAM077	P	01/07/1998 00:00:00	9	104	PTRP134	0	33	PTRP134	0	35282.00	11195.25	JODU	26/08/1998 00:00:00
01	051	RPHU07D	B	01/07/1998 00:00:00	37	1000	PTRP155	0	84	PTRP191	0	350760.00	27087.48	JODU	26/08/1998 00:00:00
01	048	RPAH076	G	01/07/1998 00:00:00	18	0	NO	0	0	NO	0	0	0	JODU	26/08/1998 00:00:00
01	044	RLXL027	B	01/07/1998 00:00:00	31	680	PTRL153	0	0	NO	0	254748.40	0	JODU	26/08/1998 00:00:00
01	042	RPHU06A	B	01/07/1998 00:00:00	52	1823	PTRP174	0	133	PTRP191	0	626291.65	42888.51	JODU	26/08/1998 00:00:00
01	039	RPHU09F	P	01/07/1998 00:00:00	8	0	NO	0	0	NO	0	0	0	JODU	26/08/1998 00:00:00
01	051	RPHU07G	B	01/07/1998 00:00:00	35	1120	PTGR155	0	94	PTRP191	0	386915.20	30312.18	JODU	26/08/1998 00:00:00
01	016	RPAM074	B	01/07/1998 00:00:00	42	94	PTRP155	0	9	PTRP191	0	32971.44	2902.23	JODU	26/08/1998 00:00:00
