19,COIW001 ,  B,02/09/1999,38,6500,0
19,COIW001 ,  B,03/09/1999,38.1,6500,0
19,COIW001 ,  B,04/09/1999,38.2,6500,0
19,COIW001 ,  B,05/09/1999,38.3,6500,0
19,COIW001 ,  B,06/09/1999,38.4,6500,0
19,COIW001 ,  B,07/09/1999,38.5,6500,0
19,COIW001 ,  B,08/09/1999,38.6,6500,0
19,COIW001 ,  B,09/09/1999,39,6500,0
19,COIW001 ,  B,10/09/1999,39.1,6500,0
19,COIW002 ,  B,01/09/1999,36.2,7050,0
19,COIW002 ,  B,02/09/1999,36.3,6800,0
19,COIW002 ,  B,03/09/1999,36.4,6800,0
19,COIW002 ,  B,04/09/1999,36.5,6800,0
19,COIW002 ,  B,05/09/1999,36.6,6800,0
19,COIW002 ,  B,06/09/1999,37,6800,0
19,COIW002 ,  B,07/09/1999,37.1,6800,0
19,COIW002 ,  B,08/09/1999,37.2,6800,0
19,COIW002 ,  B,09/09/1999,37.3,6820,0
19,COIW002 ,  B,10/09/1999,37.4,6800,0
19,COSP003 ,  B,01/09/1999,63.5,22600,0
19,COSP003 ,  B,02/09/1999,63.6,24370,0
19,COSP003 ,  B,03/09/1999,64,23750,0
19,COSP003 ,  B,04/09/1999,64.1,23460,0
19,COSP003 ,  B,05/09/1999,64.2,22810,0
19,COSP003 ,  B,06/09/1999,64.3,22720,0
19,COSP003 ,  B,07/09/1999,64.4,23490,0
19,COSP003 ,  B,08/09/1999,64.5,26040,0
19,COSP003 ,  B,09/09/1999,64.6,22860,0
19,COSP003 ,  B,10/09/1999,65,23410,0
19,COSP003A,  B,01/09/1999,63.5,17600,0
19,COSP003A,  B,02/09/1999,63.6,17870,0
19,COSP003A,  B,03/09/1999,64,17270,0
19,COSP003A,  B,04/09/1999,64.1,17140,0
19,COSP003A,  B,05/09/1999,64.2,16590,0
19,COSP003A,  B,06/09/1999,64.3,16720,0
19,COSP003A,  B,07/09/1999,64.4,17090,0
19,COSP003A,  B,08/09/1999,64.5,17740,0
19,COSP003A,  B,09/09/1999,64.6,16540,0
19,COSP003A,  B,10/09/1999,65,17130,0
19,COSP003B,  B,01/09/1999,63.5,5000,0
19,COSP003B,  B,02/09/1999,63.6,6500,0
19,COSP003B,  B,03/09/1999,64,6480,0
19,COSP003B,  B,04/09/1999,64.1,6320,0
19,COSP003B,  B,05/09/1999,64.2,6220,0
19,COSP003B,  B,06/09/1999,64.3,6000,0
19,COSP003B,  B,07/09/1999,64.4,6400,0
19,COSP003B,  B,08/09/1999,64.5,12320,0
19,COSP003B,  B,09/09/1999,64.6,2300,0
19,COSP003B,  B,10/09/1999,65,6280,0
19,COSP008 ,  B,01/09/1999,30.1,0,0
19,COSP008 ,  B,02/09/1999,30.2,0,0
19,COSP008 ,  B,03/09/1999,30.3,0,0
19,COSP008 ,  B,04/09/1999,30.4,0,0
19,COSP008 ,  B,05/09/1999,30.5,0,0
19,COSP008 ,  B,06/09/1999,30.6,0,0
